,Genotype,Treatment,PercentBlue,PercentPale,PercentDark
0,DR5,0.8mM,17.965147322945487,83.89624425830856,16.103755741691433
1,DR5,50uM,16.90698331919706,50.055741360089186,49.944258639910814
2,DR5,5mM,1.2017543859649122,100.0,0.0
